Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EQX,Equinox Gold Corp. Common Shares,$4.98,-0.13,-2.544%,1554429750.00,Canada,,531899,,
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.0613,0.0113,0.125%,254145108.00,United States,2003,9067,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$10.78,0.029,0.27%,100170530.00,,2004,405,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$22.3322,0.2022,0.914%,60355741.00,United States,1960,1825,Technology,Industrial Machinery/Components
EU,enCore Energy Corp. Common Shares,$1.84,-0.04,-2.128%,220126240.00,,2023,33340,,
EVBN,Evans Bancorp Inc. Common Stock,$32.11,0.00,0.00%,175009422.00,United States,,143,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$18.16,-0.21,-1.143%,228204408.00,United States,1999,184,Industrials,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$8.89,0.03,0.339%,219342428.00,United States,2002,4076,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.5247,0.0847,0.897%,1106803095.00,United States,2003,56115,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.745,-0.005,-0.182%,679924886.00,United States,1986,59278,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.09,0.00,0.00%,63833140.00,United States,1992,1269,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$12.79,-0.23,-1.767%,248940992.00,United States,2004,11070,Finance,Finance/Investors Services
FGH,FG Group Holdings Inc. Common Stock,$2.02,0.02,1.00%,39328691.00,United States,,20277,Consumer Discretionary,Industrial Machinery/Components
FLAG,First Light Acquisition Group Inc. Class A Common Stock,$10.27,0.00,0.00%,101447306.00,,2021,3,Industrials,Consumer Electronics/Appliances
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.5799,-0.0191,-3.189%,15899738.00,,2022,104315,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$11.8761,-0.0239,-0.201%,87593221.00,United States,1975,1148,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.12,0.00,0.00%,38798860.00,Canada,2002,1865,Consumer Discretionary,Recreational Games/Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$1.28,-0.02,-1.538%,132141970.00,United States,,127826,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.23,0.01,0.161%,251725480.00,United States,2003,16268,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.5595,-0.001,-0.178%,81433798.00,,2020,10414,,
GAU,Galiano Gold Inc.,$0.63,-0.0151,-2.341%,141714375.00,Canada,,54587,,
GBR,New Concept Energy Inc Common Stock,$1.0059,-0.0041,-0.406%,5162212.00,United States,1993,1686,Real Estate,Real Estate
GENC,Gencor Industries Inc. Common Stock,$14.43,0.02,0.139%,211510640.00,United States,,1299,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.74,-0.03,-0.796%,576552113.00,United States,2005,156159,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.588,0.00,0.00%,,United States,,43,,
GLDG,GoldMining Inc. Common Shares,$1.065,-0.025,-2.294%,179160143.00,,,75158,,
GLO,Clough Global Opportunities Fund Common Stock,$4.745,0.005,0.105%,206624451.00,United States,2006,16766,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$5.985,0.025,0.419%,114460857.00,United States,2005,7188,Finance,Finance/Investors Services
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,$10.44,0.01,0.096%,187593750.00,,2021,11008,Consumer Discretionary,Rental/Leasing Companies
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$15.19,0.14,0.93%,90667758.00,United States,2004,2444,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$49.85,0.00,0.00%,,United States,,87,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.70,-0.05,-0.87%,72444623.00,United States,2004,4261,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$1.13,-0.04,-3.419%,27900449.00,,2022,394059,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$1.0199,0.0099,0.98%,90157231.00,United States,,18289,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.29,0.00,0.00%,32893360.00,United States,,12,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.12,-0.04,-3.448%,41814380.00,,2022,923,,
GROY,Gold Royalty Corp. Common Shares,$2.214,-0.056,-2.467%,318623535.00,,2021,27589,,
GSAT,Globalstar Inc. Common Stock,$1.02,0.01,0.99%,1847220000.00,United States,2006,260875,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$0.8563,-0.0006,-0.07%,295092746.00,Canada,,103704,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,$10.48,0.00,0.00%,121895500.00,,2022,3038,Industrials,Consumer Electronics/Appliances
HNW,Pioneer Diversified High Income Fund Inc.,$10.04,0.01,0.10%,83680980.00,United States,2007,7135,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$2.3948,-0.0152,-0.631%,25438806.00,United States,,12244,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$64.78,0.00,0.00%,,United States,,12,,
HZON,Horizon Acquisition Corporation II Class A Ordinary Shares,$11.31,0.00,0.00%,343241852.00,United States,2020,78,Finance,Blank Checks
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.455,-0.045,-1.00%,113465945.00,United States,1985,12431,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$2.47,-0.11,-4.264%,609623913.00,,2022,136735,,
IBIO,iBio Inc. Common Stock,$1.264,-0.016,-1.25%,15634611.00,United States,,35597,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$0.3771,-0.0184,-4.652%,12864559.00,United States,2017,38604,Consumer Discretionary,Auto Parts:O.E.M.
IDR,Idaho Strategic Resources Inc. Common Stock,$5.87,-0.0421,-0.712%,71945790.00,,2022,1701,Basic Materials,Precious Metals
IDW,IDW Media Holdings Class B Common Stock,$0.7001,0.0401,6.076%,9890866.00,,2021,7643,Consumer Discretionary,Newspapers/Magazines
IE,Ivanhoe Electric Inc. Common Stock,$11.51,-0.61,-5.033%,1070106166.00,,2022,66114,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.3498,-0.0207,-5.587%,18566487.00,United States,,24882,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.3996,0.00,0.00%,12760871.00,United States,1999,27,Real Estate,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$0.245,0.015,6.522%,8959375.00,United States,1997,7759,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$52.78,-0.51,-0.957%,30831580456.00,Canada,1929,29416,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$4.8813,0.0256,0.527%,49509532.00,,2019,5635,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$8.825,-0.035,-0.395%,184391747.00,United States,,2652,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$4.01,-0.0022,-0.055%,,,2022,256,Technology,EDP Services
INTT,inTest Corporation Common Stock,$21.48,-0.17,-0.785%,238886791.00,United States,1997,6583,Technology,Semiconductors
INUV,Inuvo Inc.,$0.3242,0.0044,1.376%,39361805.00,United States,,2505,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.01,0.00,0.00%,45894238.00,United States,1987,25,Finance,Diversified Financial Services
IPVF,InterPrivate III Financial Partners Inc. Class A Common Stock,$10.18,-0.02,-0.196%,95314587.00,,2021,13142,Industrials,Consumer Electronics/Appliances
ISDR,Issuer Direct Corporation Common Stock,$18.95,0.00,0.00%,71839829.00,United States,,77,Technology,Computer Software: Prepackaged Software
ITP,IT Tech Packaging Inc. Common Stock,$0.47,-0.0195,-3.984%,4730982.00,China,,325,Basic Materials,Paper
ITRG,Integra Resources Corp. Common Shares,$0.595,0.015,2.586%,47459395.00,,,4020,,
JOB,GEE Group Inc. Common Stock,$0.4475,0.0165,3.828%,51216579.00,United States,1968,38081,Consumer Discretionary,Diversified Commercial Services
JWSM,Jaws Mustang Acquisition Corp. Class A Ordinary Shares,$10.02,0.00,0.00%,280345712.00,,2021,1808,Finance,Blank Checks
KIQ,Kelso Technologies Inc Ordinary Shares,$0.2779,0.0003,0.108%,15095552.00,Canada,,841,,
KNW,Know Labs Inc. Common Stock,$0.91,0.06,7.059%,43869223.00,,2022,74332,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.70,0.0039,0.56%,81361086.00,United States,,17528,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.385,-0.025,-1.773%,207724166.00,United States,,6605,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$29.32,-0.30,-1.013%,429210965.00,United States,2014,7357,,
LGL,LGL Group Inc. (The) Common Stock,$4.25,0.00,0.00%,22749982.00,United States,1946,66,Technology,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$149.86,-1.22,-0.808%,36489994655.00,United States,2001,37527,Utilities,Oil/Gas Transmission
LODE,Comstock Inc. Common Stock,$0.4049,-0.0104,-2.504%,41718933.00,United States,,128212,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$4.85,-0.15,-3.00%,273448864.00,,2022,135,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$0.86,-0.04,-4.444%,7928770.00,,2020,11640,Consumer Staples,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$15.61,0.01,0.064%,420454929.00,United Kingdom,2012,9416,Industrials,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$12.7448,-0.3052,-2.339%,1310835867.00,Canada,,80198,,
MAIA,MAIA Biotechnology Inc. Common Stock,$3.3099,-0.2201,-6.235%,36396998.00,,2022,130969,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.6317,0.00,0.00%,64342531.00,,2022,55,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,$10.12,0.055,0.546%,117801880.00,United States,,3611,Consumer Discretionary,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,$0.515,0.00,0.00%,38410241.00,,2020,2,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$1.02,0.01,0.99%,11131780.00,United States,2021,10085,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$0.78,0.00,0.00%,54598850.00,United States,2015,13,Health Care,Industrial Specialties
MNK,Mallinckrodt plc Ordinary Shares,$5.98,0.17,2.926%,78762173.00,,2022,2007,Health Care,Biotechnology: Pharmaceutical Preparations
MPTI,M-tron Industries Inc. Common Stock,$11.62,-0.14,-1.19%,31685393.00,,2022,931,,
MPU,Mega Matrix Corp. Common Stock,$1.57,0.04,2.614%,49555565.00,United States,1998,285,Consumer Discretionary,Diversified Commercial Services
MSN,Emerson Radio Corporation Common Stock,$0.539,0.00,0.00%,11341989.00,United States,1994,11,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$5.02,-0.13,-2.524%,259872730.00,,,34096,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.67,-0.045,-6.294%,145567232.00,United States,2017,170689,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$5.9525,0.0525,0.89%,183575100.00,,2023,14107,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$12.3472,0.00,0.00%,26447702.00,United States,2003,45,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$0.6176,-0.0373,-5.696%,12921249.00,United States,2017,194720,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.2311,-0.003,-1.282%,122432017.00,Canada,,150905,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$0.26,0.00,0.00%,8541326.00,United States,,6219,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.49,0.07,0.672%,197664790.00,United States,2002,4034,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$9.58,-0.07,-0.725%,48641655.00,United States,2002,829,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$10.89,0.11,1.02%,60450869.00,United States,2002,1635,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$1.76,0.2201,14.293%,3582381.00,United States,2007,2801786,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$71.75,0.00,0.00%,256695383.00,United States,,108,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$2.52,-0.10,-3.817%,395764173.00,,2021,37626,,
NFGC,New Found Gold Corp Common Shares,$4.775,-0.075,-1.546%,837427687.00,,2021,23526,,
NG,Novagold Resources Inc.,$5.57,-0.10,-1.764%,1860283516.00,Canada,2003,139488,,
NGD,New Gold Inc.,$1.265,-0.025,-1.938%,863742000.00,Canada,,428908,,
NHC,National HealthCare Corporation Common Stock,$57.68,0.48,0.839%,885698838.00,United States,1986,3649,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$8.94,-0.01,-0.112%,173726908.00,United States,,9121,Finance,Trusts Except Educational Religious and Charitable
NHWK,NightHawk Biosciences Inc. Common Stock,$0.7601,-0.001,-0.131%,19800004.00,United States,2022,1179,Health Care,Biotechnology: Pharmaceutical Preparations
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$6.5279,-0.0021,-0.032%,369863816.00,,2013,3468,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.3499,0.0099,0.739%,15706087.00,United States,,2567,Health Care,Biotechnology: Pharmaceutical Preparations
